name(이름),description(설명),start_date(시작일),end_date(종료일),region(지역),detail_region(상세지역),latitude(위도),longitude(경도),fee(참가요금),organizer(주최기관),contact_phone(연락처),website_url(공식홈페이지),visitor_count(방문객수),Tag
2025 Busan International Rock Festival,"The Busan International Rock Festival is the first and longest-lived international rock festival in Korea that has been maintaining its reputation for 26 years since its first launch in 2000. In 2025, it will be held at Samrak Ecological Park for three days from September 26 (Friday) to September 28 (Sunday), and various domestic and foreign artists will participate. You can watch a variety of performances from up-and-coming artists to global top headliners on stages throughout the park, and enjoy a variety of additional events such as visitor-participating game events, food court lounges, and camping zones.
[Contents of the event]
1. Main program: Busan International Rock Festival
2. Supplementary programs: Lookies on the BU-ROCK, Road to BU-ROCK, etc
3. Others: MD booth, food court lounge, camping zone, etc",2025.09.26,2025.09.28,Busan,Samnak Ecological Park,35.168967,128.973593,"Per person 110,000 KRW",Busan Metropolitan City Hall,051-888-5221,https://busanrockfestival.com/,730,"Food,Culture,Music/Show,Nature,Join"
20th Haeundae Sand Festival,"The Haeundae Sand Festival, the nation's largest eco-friendly exhibition based on sand, will be held under the theme of ""K-Culture Meeting Sand"" to mark the 20th anniversary. The festival will be held at Haeundae Beach and Haeundae Square (Gunam-ro) from May 16 (Friday) to May 19 (Monday), 2025 and there are various programs such as sand exhibition, opening event, sandboard, sand observatory, and sand sculpture. To mark the 20th anniversary, there are more abundant attractions and experience programs.
[Contents of the event]
a representative program
- World Sand Art Exhibition (Thematic Art Exhibition, 20th Anniversary Special Exhibition)
- Opening events, beach performance events, theme-related exhibition events
- Experience programs such as sandboarding, sand sculpture experience, and children's sand playground

??Sand sculptures will be displayed until June 8, 2025 (Sunday)",2025.05.16,2025.05.19,Busan,Haeundae Beach Area,35.159083,129.16047,free,Haeundae-gu District Office,051-749-4064,https://www.haeundae.go.kr/index.do?menuCd=DOM_000000309005001000,745,"Family,Spring,Children,Music/Show,Nature,All Ages,Join"
Dongnae Eupseong Historical Festival,"The Dongnae Eupseong History Festival is a representative festival in Dongnae-gu, Busan, which has been held for 30 years since the first Chungryeol Festival in 1995, and is a history education-type experience festival held under the slogan ""Meet Dongnae, Chosun, 1592. In commemoration of the 30th anniversary, starting with the eve drone show at Oncheoncheon Caf�?Street, a new tourist attraction in Dongnae-gu, it will be full of 48 programs in five areas, including Dongnae Busa-haengcha Gilnori, Dongnae Sejilband, and Dongnaeseong Battle Reenactment Musical.
[Contents of the event]
1. Representative programs: Dongnae Busa Train Road Play, Dongnae Sejil Band, Dongnae Seong Battle Reproduction Musical
2. Theme program: Meet Joseon in 1592 [Gwanmun Experience] and enjoy Dongnae in 1592 [Dongrae Market Experience]
3. Culture/performance programs: traditional tightrope walking, folk art performances, wise eupseong sports performances, Dongnaebu's house dance reproduction madanggeuk, metallurgical busking, electric water story busking, Jeonuchi magic busking, Dongnaeupseong song festival, life culture and arts festival, opera Chunhyangjeon, Choi Tae-sung historical talk show, etc
4. Join/experience programs: Jang Yeong-sil Science Experience Exhibition, Dongnae Hye Minseo, Joseon version of Squid Game 'Eupseongmin Game', Eupseong Entertainment Room, Chosun Hipster Dance Battle, Hanbok Disco Party, Jeon Saigado Nan Stamp Tour, Dongnae One Step Night & Moonlight Ticknick, Walking along Dongnae Eupseong, Eupseong Children's Play Plaza, Back to the Chosun Playground, etc
5. Additional events: Memorial Ceremony for the 432nd anniversary of the Imjin War, Dongnae Sale Festival, Residents' Self-Governing Council Program Presentation & Exhibition, Food Market, Wish Story, Hope Lantern, Oktoberfest, Myeongnyun 1st Street Win-Win Free Market, Oncheoncheon Caf�?Street Drone Show, Innovative Oulim Center Beauty Experience",2025.10.24,2025.10.26,Busan,"Dongnae Cultural Center, Dongnae Eupseong North Gate Area",35.212039,129.090392,free,Dongnae-gu District,051-550-4092,https://www.dongnae.go.kr/festival/index.dongnae,935,"Family,Food,Culture,Children,Music/Show,Nature,All Ages,Heritage,Join"
Seoul Spring Festa 2025,"Seoul Spring Festa is a comprehensive cultural and tourism festival held in Seoul, the capital of Korea, the center of K-content and K-culture loved by people around the world. Here in Seoul, all the essence of Korea's ""beauty, fashion, K-Pop, food, and art"" that was encountered in various K-Contents is gathered. Seoul Spring Festa is the largest festival in Seoul where you can experience the colorful charms of Seoul in one place. It is held on a warm spring day in Korea with the best weather among the four seasons in Korea with different charms.
[Contents of the event]
a representative program
3 BIG SHOWS
- WONDER SHOW: Opening Concert to mark the beginning of Seoul Festa, where K-pop artists can enjoy spectacular performances
- Signature Show: Seoul's Amazing and Shining Story through Seoul's Landmarks
- ROAD SHOW: Road events that can be enjoyed while driving around Seoul, such as mission tours, games, and dance parties

3 THEME SPOTS
- Wonder Park (WONDER PARK): A unique experience space where citizens participate together in a new daily show event
- WONDER PLAZA: FUN CITY Concept Market and Complex Event Space that brings together the amazing charms of Seoul
- Wonderful Road: A beautiful exhibition space full of spring flowers on Deoksugung-gil, which represents Seoul",2025.04.30,2025.05.06,Seoul,"Seoul Plaza, Gwanghwamun Plaza Area",37.565661,126.978035,free,Seoul City,02-2133-2810,https://seoulfesta.com/info/,3300,"Food,Culture,Spring,Music/Show,Nature,All Ages,Join"
Hangang Light Performance,"The 2025 Han River Light Show (Drone Light Show) is a drone light show held at the Han River, Seoul's leading night view attraction, which ran from April 27 to June 15, 2025. This performance is a night light festival representing the Han River, which contains Seoul's culture and emotions, in the form of a combination of a culture and art performance and a drone light show.

[Contents of the event]
1. Performance schedule and venue
- Waterfront Stage at Ttukseom Hangang Park

2. a performance time
- Culture and arts performance (part 1): 19:30 to 20:30
- Drone Light Show: 20:30 to 20:45
- Culture and arts performance (part 2) : 20:45 to 21:15

3. the contents of the performance
- Drone Light Show: A spectacular performance in which 1,200 to 2,000 drones embroider the night sky of the Han River and express various shapes and messages
- Culture and Art Performance: Artistic performances of various genres are held with drone light shows to provide visitors with a variety of cultural experiences

4. viewing information
- Fee: Free
- Target: Anyone
- Contact: 02??20

??Performances may be canceled or rescheduled depending on weather conditions such as rain and strong winds, so please check the official website or related information before visiting.",2025.04.12,2025.10.04,Seoul,Ttukseom Hangang Park,37.529534,127.070017,free,Seoul City,02-2133-1845,https://www.seouldroneshow.com/,863,"Food,Culture,Spring,Summer,Music/Show,Nature,All Ages,Join"
2025 Seoul Light Hangang Bitseom Festival,"It is Seoul's largest waterfront laser art + citizen Join festival, which will be held for 10 days at Hangang Park and Yeouido Hangang Park, a precious natural attraction that cannot be separated from the daily lives of Seoul citizens. The festival consists of programs with the keyword of ""Light Island 3L,"" such as Light Run, Laser Art, and Lecture.
Light Run is a visual running program in which citizens wearing light t-shirts carry light sticks around Yeouido Park. It will be held on Oct. 12, and the course will be 5 kilometers around Yeouido Hangang Park. Laser art combines nature + art + technology to create a laser light and media art landmark. It will be available from 7 p.m. to 10:30 p.m. during the festival period at the Han River Park in Yeouido. Light Island Recreation is a live Pechakucha lecture for citizens representing artists, experts, and companies. In addition, various related programs such as various performances and performances have been prepared. The city plans to make the Light Island Festival a representative art festival in the city by touring the three provinces (Nanji, Yeouido, Seonyu) and the three islands (Nodeul, Seorae, and Ttukseom) every year.
[Contents of the event]
1. Main Program: Laser Art Exhibition / Light Run / Light Island Lecture
2. Supplementary program: Performance & Performance",2025.10.03,2025.10.12,Seoul,Ttukseom Hangang Park,37.529534,127.070017,free,Seoul City,02-2133-1935,https://bitseomfestival.com/2025/,2600,"Food,Culture,Music/Show,Nature,Join"
2025 Seoul Light Gwanghwamun,"Seoul Light Gwanghwamun is Seoul's representative light festival consisting of media art and cultural and artistic contents that the public can enjoy together. The 24 Seoul Light Gwanghwamun Media Art Project ""Luminous Axis"" artistically captures Seoul's present and future vision based on the historical context of Gwanghwamun, conveys the reverberation of light and sound created by media art, and provides audiences with an opportunity to experience synesthesia by creating a chirozic moment through audience Join. The axis of light spreads out to the outside and highlights Gwanghwamun Square in a more intense and colorful appearance. The surreal orchestra of light, which transforms the entire Gwanghwamun Square into a beautiful stage of light, provides an unforgettable experience for the audience.
[Contents of the event]
1. Main program: Signature Media Facade (Luminous Symphony: Symphony of Light) / First writer Media Facade / Gwanghwamun Open Call
2. Supplementary programs: Citizen Join Wishball / Reflection Monument (Mirror, Interaction Lying, Lettering Monument) / Public-private partnership Media Art Center / Global K Content Zone - Squid Game 2
3. Consumer Join Program: Wishball 2025 / Hatchmadang Event / Student Contest / New Year's Countdown
4. Other contents: Various program promotion booths",2025.12.13,2026.01.05,Seoul,"Gwanghwamun, Gwanghwamun Plaza",37.57244,126.976922,free,Seoul City,02-2133-1936,https://www.seoullightgwanghwamun.com/web/php/main.php,3320,"Food,Culture,Music/Show,Nature,Heritage,Join"
2025 Reading Hangang Park,"Reading Han River Park is a representative cultural program of the Han River organized by the Seoul Metropolitan Government and will run from May 3 to June 14, 2025 in Yeouido, Ichon, Jamwon (Apgujeong), and Gwangnaru Han River Park. The event has established itself as an outdoor cultural space that provides leisure and impression to citizens through various programs such as reading, culture and arts, play, and movies.

[Contents of the event]
1. a major program
1) Sunset Cinema: An Emotional Movie Screening Set on the Sunset of the Han River
2) Opening performances: Navy military band, Lady B, Koji jazz office, Song Joon-seo trio, and more
3) Play programs: Children and family experience programs such as roller coasters and large air bounces driven by dads
4) Children's program: Creative experience activities such as a self-portrait making contest for snacks

2. reading and relaxation area
- 500 seats, including beanbags and hammocks
- 7,500 books per place are provided free of charge to citizens

3. Location and schedule of operations
- Yeouido Hangang Park Multiplaza: 5.3~6.21 (8 times in total)
- Grass Plaza next to Ichon Interchange in Ichon Hangang Park: 5.3 to 6.7 (6 times in total)
- multi-purpose playground in front of the Sinsa Interchange at Jamwon Hangang Park: 5.3~6.14 (6 times in total, not held 5.24 times)
- Gwangnaru Han River Park Gwangjin Bridge South End Lawn Madang: 5.10-5.31 (4 times in total)

??In the event of rain, some programs may be delayed or canceled, so it is recommended to check the official website before visiting.",2025.05.03,2025.06.14,Seoul,"Yeouido, Ichon, Jamwon, Gwangnaru Hangang Park",37.526821,126.934593,free,Seoul City,02-3780-0735,https://www.hangangoutdoorlib.seoul.kr/,836,"Family,Food,Culture,Spring,Children,Summer,Music/Show,Nature"
2025 Pedestrian Jamsugyo Bridge Festival,"The Car-Free Water Bridge Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk-Tuk is a festival that has been held every Sunday at the Suyeong Bridge. Running from May 4 to June 22, 2025, the festival offers a variety of relaxations and fun, including special programs, various performances, a healing zone, food trucks and Seoro Market, a Jin Flea Market, and a play and experience space. You can enjoy various themed programs while feeling the cool wind of the Han River through the footsteps of people, not cars.
[Contents of the event]
1. Main Program: Various Special Programs

2. Additional programs: Noise-free DJ party, Jin Flea Market, Submersible Bridge Market, Food Truck, Healing Zone, Tutu Playground, Every nook and cranny live

3. Consumer Join Program: Operation of various healing zones and experience programs for festival visitors

4. Other content:
May 4 (Children): Mask Parade
May 11 (family): Han River Space Out Competition, Han River Tango Festival
May 18 (traditional): Nakhwa Nori X Jeongseon Arirang
May 25 (Excited): SEVENTEEN 10th Anniversary BURST Stage @Submarine Bridge
June 1 (Sports): Fencing on the Bridge & Ddu Ddu Busking
June 8 (Healing): Korean traditional music meditation healing program 'Heart, Rest'
June 15 (Romantic): Submersible Sunset Yoga
June 22 (passion): 2025 Closing Performance 'HAPPYEND, Submersible Bridge'

Noiseless DJ parties will be held on a specific date / Other than that, Jin Flea Market, Seoro Market, Live Performance, Food Truck, Healing Zone, Photo Zone, etc. will be operated at all times",2025.05.04,2025.06.22,Seoul,"Jamsugyo Bridge, Banpo Hangang Park",37.514712,126.996414,free,Seoul City,02-3780-0799,https://www.festa-ddooddoo.com/,1211,"Family,Food,Spring,Children,Summer,Music/Show,Nature,Heritage"
5th Gangnam G-KPOP Concert,"The 5th Gangnam G-KPOP Concert is a K-POP festival held in Sinsa Jamwon District (behind Hyundai High School) in Hangang Park, Seoul, and various programs are available for everyone from Generation Z to Generation X to enjoy together.

[Contents of the event]
1. a performance program
- [1st round] STAY, DREAMCATCHER, NUDConnection, Hwang Garam, Rocky, Yoon Sooil
- [2nd round] Kim Tae-woo, Jinusean, Space A, Lee Ja-yeon, Park Mi-kyung, Park Hyun-bin, Cool Lee Jae-hoon

2. a supplementary program
- Fireworks: Two days after the show ends
- Busking performance: 11 a.m. to 1 p.m
- Picnic Zone Operation: Mat Presentation Event in Progress

3. a tour guide
- Admission Fee: Free
- How to enter: On-site ticket booths on the day of the event distribute entry bracelets on a first-come, first-served basis
- Contact: 02-581-9871

??Public transportation is recommended because traffic congestion is expected. It takes about 15 minutes on foot from Exit 6 of Apgujeong Station on Subway Line 3.

The festival, where you can enjoy the heat of K-POP along with the beautiful night view of the Han River, consists of programs that can be enjoyed by everyone from family visitors to K-POP fans.",2025.05.24,2025.05.25,Seoul,"Sinsa Jamwon District, Hangang Park",37.519144,127.009349,free,Gangnam-gu District,02-3423-5542,https://visitgangnam.net/cultural-events/end/2025-g-kpop/,713,"Family,Culture,Music/Show,Nature,All Ages,Join"
30th Gangdong Prehistoric Culture Festival,"It is a festival representing the Neolithic Age in Korea, with an average of more than 400,000 visitors every October.
[Contents of the event]
1. Official events: Opening and closing ceremonies, celebratory performances, opening drone shows, closing fireworks shows, etc
2. Representative events: Somangirumteo Lighting Ceremony, Rockjeol Village Hosangnori, etc
3. Experience and exhibition: Prehistoric barbecue, prehistoric waterland, prehistoric artist special exhibition, Neolithic Archaeological Experience School, prehistoric cosplay, etc
4. Performing events: Dream Road Play (Pungmul Chwita-dae), Gangdong Prehistoric Singing Contest, Puppet Play, Seonhya Rock Game, Chosun Yeolsoe (Magician), Seonhya Wandering Troupe of Clown Brothers, etc
5. Night programs: Night Light Festival, Media Facade, Sunken Night Walk, and more
6. Supplementary events: Food market, prehistoric performances, prehistoric parades, etc",2025.10.17,2025.10.19,Seoul,Amsa-dong Prehistoric Site Area,37.560257,127.129869,free,Gangdong-gu District,02-3425-5247,https://www.gdsunsafestival.kr/,908,"Food,Culture,Music/Show,Nature,Heritage,Join"
Nowon Moonlight Walk,"This event welcomes visitors under the theme of ""Breath"". ""Breath"", which originated from the repeatedly circulating moon's breath, symbolizes a breather and also represents the life that breathes in, so it contains the will to realize it as a festival where everyone can breathe together through Nowon Dalbit Walk. In its fifth year under this theme of ""Breath"", Nowon Dalbit Walk will shine on the Danghyeoncheon trail with various works such as Korean paper (??, sculpture, media, and lasers.
[Contents of the event]
1. exhibition of 40 works by 24 artists
(1) Key content
- Art, etc. (?? and light sculpture exhibition, overseas artist exhibition, Nowon artist Join program, Moonlight shelter, Moonlight commentator, opening point lighting ceremony, weekend performance, local institution and school Join
(2) a participating writer
- Gazette Workshop, Kim Song, Kim Jun, Kim Ji Hye, Ram Han, Bara, Park Geon Jae, Park Bong-ki, Park Ye-ji, Park Hye-in, Seo Sung-bong, Seo Sung-hyeop, Ahn Kyung-jin, Oh Min-soo, Oh Jong-sun, Wiwi Art Studio, Yoon Je-ho, Lee Ki-beom, In Songja, Jeon Young-il, Cho Young-chul, Chaiting, Han Ho-jin, ops.50656",2025.10.17,2025.11.16,Seoul,Danghyeoncheon Stream Area,37.657811,127.072147,free,Nowon-gu District,02-2116-7143,https://moonlightwalk.kr/,500,"Food,Culture,Music/Show,Nature,All Ages,Specialty,Join"
Dongdaemun Festival,"<Dongdaemun Festival_Dongdaemun Stage> is a cultural and artistic festival representing Dongdaemun-gu. Various programs, including about 30 street arts composed of various genres, music performances, and programs to experience the city anew, will be held. Janghan-ro 1.2km round-trip six-lane boulevard, where the festival is held, is a space where people are connected and people live their daily lives. You can experience a moment of emotion and joy in a special scene of the festival that appears and disappears for a while like a mirage.
[Contents of the event]
1. Opening Program: Citizen Performance <Open Dongdong Dongdaemun> and Music Performance <Kim Chang-wan Band>

2. Main program: Zero-Collatech, Anywhere Stage, Welcome to Kids Town, Mammoth Theater, Urban Camping, Lazy Floor, International Street Art Network
- Zero-Collatech: the music stage of the club and the indband
- Anywhere: Performance program
- Welcome to Kids Town: G-Billak Join Program (Children)
- Mammoth Theater: Commentaries and Film Proceedings
- Urban Camping: Deviation and Rest Program on Asphalt on the Road",2025.10.18,2025.10.19,Seoul,Janghan-ro Area,37.561697,127.065303,free,Dongdaemun-gu District,02-2127-4711,https://www.ddmf.co.kr/,720,"Family,Food,Culture,Children,Music/Show,All Ages,Join"
25th Hanseong Baekje Cultural Festival,"Based on the great cultural heritage left by Baekje in the Hanseong Baekje town of Songpa, we will operate an experience program to feel the traces of Baekje, plan a performance program to feel the power of our culture that has been passed down since the Hanseong Baekje era to inform citizens of the Hanseong Baekje era, and establish ourselves as a representative cultural festival in Korea where citizens and foreigners can enjoy together through high-quality performances.
[Contents of the event]
1. Main program: Opening ceremony, closing ceremony, Hanseong Cultural Concert
2. Supplementary programs: Experience programs, experience villages, promotional booths, and food markets
3. Consumer Join Program: Experience program, experience village, promotion booth, food market
4. Other contents: Songpa-gu residents' day, Hanmaum Oeulmadang",2025.09.26,2025.09.28,Seoul,Olympic Park,37.518727,127.116356,free,Songpa-gu District,02-2147-2815,https://www.songpa.go.kr/hanseong/,1300,"Food,Culture,Music/Show,Nature,Join"
2025 Sejong Festival,"You can see a variety of things to see and enjoy under the theme of King Sejong, which is suitable for the image of ""Hangul Cultural City Sejong,"" and ""Hangul, Science, and Music"" centered on talent in the Sejong era.
[Contents of the event]
1. a major program
- (Hangeul) Sejong Hangeul Playground, Hangul Song Contest, Hangul Line Dance Flash Mob
- (Science) Sejong Science Playground, Magic Performance

2. a civic engagement program
- (Small festival in festival) Public offering of programs planned by citizens themselves",2025.10.09,2025.10.11,Sejong,Sejong Lake Park,36.499294,127.270353,free,Sejong Special Self-Governing City,044-300-3442,https://www.sjcf.or.kr/content.do?key=2111060043,800,"Food,Culture,Music/Show,Join,memory"
2025 Ulsan Industrial Festival,"It is a festival that Ulsan's companies, workers, and citizens all create and enjoy together, feeling the value of Ulsan in the passage of time of Ulsan's past, present, and future. It is also a festival that shows the value of Ulsan, an industrial city, an ecological environmental city, and a cultural tourism city, and forms a venue for dialogue that transcends time and generation by combining Ulsan's past, present, and future.
[Contents of the event]
1. Main program: attendance ceremony, parade, opening ceremony, closing ceremony
2. Supplementary programs: U Culture Festival, National B-boy Festival, 2025 Ulsan Future Fair, AI Experience, Gugupal Ulsan! March of Youth, Taehwa River Nakhwa Nori, Onna Ulsan, Ulsan City Tourism Souvenir, Tourism Company Promotion, Culture
3. Consumer Join Program: Promoting excellent agricultural and fishery products, tap water cafe vehicles, robot cafes, food booths and shelters, drunk whale yards, fire headquarters experience, etc
4. Other information: junk art exhibition, multi-use container rental cleaning, protection of lost children, protection of the elderly, information center for the disabled, etc",2025.10.16,2025.10.19,Ulsan,Entire area of Ulsan Metropolitan City,35.532012,129.309294,free,Ulsan Metropolitan City,052-229-2723,http://xn--ob0b478atvdy1a72cf4o.kr/,2780,"Food,Culture,Music/Show,Nature,All Ages,Specialty,Join"
2025 17th Ulsan Grand Park Rose Festival,"The Ulsan Grand Park Rose Festival, which will be held at the Ulsan Grand Park Rose Garden, will feature 3 million beautiful and diverse roses blooming in the nation's best rose garden, high-quality programs, and civic Join events for five days.
[Contents of the event]
1. Main program: Opening ceremony (parade, opening lighting ceremony, fireworks show, opening performance)
2. Performing programs: Rose Valley Concert, Love Music Concert, Happiness Studio, etc
3. Supplementary programs: Children's Rose Garden and Rose Village (exhibition experience booth, food truck)

* Charges - Paid
Admission to the rose garden (including zoos): 2,000 won for adults, 1,000 won for teenagers, 500 won for children
Groups of 30 or more: 1,600 won for adults, 800 won for teenagers, 400 won for children
Free admission: Under 4 years of age, 65 years of age or older, disabled persons and one guardian of Grade 1 to 3 disabilities (with identification and evidentiary documents)",2025.05.21,2025.05.25,Ulsan,Ulsan Grand Park Rose Garden & South Gate Plaza,35.528119,129.281723,free,Ulsan Metropolitan City,052-229-3343,http://ulsanrosefestival.com/,520,"Family,Food,Culture,Adult,Children,Music/Show,Nature,Youth"
Taehwa River Maduhee Festival,"It is the 2025 Taehwa River Madhuhee Festival, which is hot in summer, with various experiences such as ""Madhuhee"" in the original city center of Ulsan, water tugging in the Taehwa River, chimaek festival, EDM party with DJ, and ssireum competition.
[Contents of the event]
1. Representative program
- Don't pull a big rope in Ulsan
- National Taehwa River Madhuhee Dance Contest
- Dano-Machi Ssireum Competition
[The garden of Taehwa River]
- Water tugging, water survival games, and Taehwa River water experience
- Taehwa River Taehwa-naru Chimaek Festival
- Playing in the water, flying water show
[Performance yard]
- I'm the king of busking
- a professional madang theater performance
- The king of singers in my neighborhood
- Ulsan Big Baby Song Festival
- Living Artist Hanmadang
[Children's yard]
- Children's Expedition Stamp Tour, Children's Playground
[Join]
- Drinking tea (?? with madu
- Madhuhee's eating first
- Taehwagang Ma Doohi Market
[Dongheon's yard]
- National Sound Contest
- Tohobusa's journey
- DONGHEON, the crane flew in
[Ma-doo-hee's yard]
- Ma Doo-hee's big string production, pulling alley strings (Yu/Elementary School, Dongdaehang)

2. Additional events
- a national street performance (busking) competition
- Bridge of Youth - Taehwa River! Autumn into Wine & Music
- Festival Photo Certification Event
- Madhurang Civic Parade",2025.05.30,2025.06.01,Ulsan,Seongnam-dong & Taehwa River Area,35.557046,129.321928,free,"Jung-gu District Office, Ulsan",052-290-3662,https://www.ulsanmaduhee.co.kr/pages/way.html,780,"Family,Food,Culture,Children,Summer,Music/Show,Nature,Heritage"
Ulsan Whale Festival,"Ulsan Whale Festival, a representative festival in Ulsan that celebrates whale culture that has been around since prehistoric times thousands of years ago, has been held since 1995 based on Jangsaengpo, the center of the modern whaling industry.
[Contents of the event]
1. Main program: media performance (hologram), opening/closing ceremony, fireworks show, famous director movie screening and GV, parade, musical diva gala show, JSP DJ PARTY, whale song festival, dance contest, etc
2. Supplementary programs: poster design contest, flying board performance, children's drawing contest, making my own parade car, etc
3. Consumer Join Programs: Permanent performance programs, experience and exhibition programs, Whaleland (children's amusement park), Flea Market, and programs related to facilities in the Jangsaengpo Whale Culture Special Zone, etc
4. Other contents: 2024 Ulsan Whale Festival Festival Song 'Whaley' released and SNS Dance Challenge
5. Food: Jangsaeng Restaurant (Main Food Booth), Jangsaeng Inn (Makgeolli Zone), Food Truck, etc",2025.09.25,2025.09.28,Ulsan,Jangsaengpo Whale Culture Zone,35.513111,129.367398,free,"Nam-gu District Office, Ulsan",052-226-3402,https://www.ulsanwhale.com/,1700,"Family,Food,Culture,Children,Music/Show,Nature,All Ages,Join"
17th Ulsan Shipbuilding & Marine Festival,"The 2025 Ulsan Shipbuilding & Marine Engineering Festival is an event that will be held at Ilsan Beach in Dong-gu, Ulsan Metropolitan City from July 18 (Friday) to 20 (Saturday), 2025. Starting with the opening ceremony with a celebration performance on Friday on the 18th, killer contents of such as the ingenious ship contest and Night Run Ilsan will be held. It also offers a variety of experience, Join, exhibition and tour programs such as Dong-gu Tourism Tour and Marine Leports Experience. In addition, there are various genres of stage programs such as the Ilsan EDM Festival and Busking at Ambitious Night. In addition, there are plenty of things to enjoy as there are beach rest areas such as Ilsan Summer Village.
[Contents of the event]
1. Main program: Ingenious ship contest, Nightrun Ilsan
2. Additional programs: Dong-gu Tourism Tour, Summer Village
3. Performance program: Ilsan EDM Festival, Ilsan Beach Water Bomb, Ambitious Night, etc",2025.07.18,2025.07.20,Ulsan,Ilsan Beach Area,35.495961,129.431031,free,"Dong-gu District Office, Ulsan",052-209-3502,https://ussf.co.kr/index.html,600,"Culture,Summer,Music/Show,Nature,Heritage,Join"
21st Ulsan Soeburi Festival,"Dalcheon Iron Market is Korea's first iron production site that produced high-quality iron from the primitive Han Dynasty to the modern and contemporary times, and today it is the place where the history of the 2000-year-old iron that conceived Ulsan, a world-class industrial city, breathes. The Ulsan Soeburi Festival is the most Ulsan-like festival held in May every year since 2005 to inherit and develop Ulsan's industrial history and traditional steel culture.
[Contents of the event]
1. Iron-billed event: Ulsan Iron-billed Technology, Ulsan Iron-billed Sound, and Iron-billed Daejanggan
2. Performance events: Hope Fireworks Lighting Ceremony, 2025 Taak Festa Dudri, Dreamburi Concert, Soeoburi 'Heung' Song Festival, Citizen Concert. Me.Doo, Woori-dong talent show, Daedong Nanjang boycott
3. Experience event: Iron Beak Experience Zone, Iron Noliter, Dudrinoliter, Iron Gate Cremator
4. Exhibition Events: Canned Art, Growing Up, Wearing Lacquer, Hyundai Motor Public Relations Hall
5. Food event: Food market, chicken and beer market, food truck",2025.05.09,2025.05.11,Ulsan,Buk-gu Area,35.633667,129.329442,free,"Buk-gu District Office, Ulsan",052-241-7333,https://soeburi.org/soeburihistory/1822,600,"Food,Culture,Spring,Music/Show,Nature,Heritage,Join"
25th Ulsan Onggi Festival,"The Ulsan Onggi Festival is the only festival in Korea that specializes in the theme of Onggi, which has been with the Korean people for more than a thousand years. As the festival is held in Oego Mountain Onggi Village in Ulju-gun, which makes Onggi in a traditional way, it naturally promotes Onggi, a representative Specialty, and contributes to the spread of daily Onggi and the development of traditional industries. From the demonstration of pottery making by artisans, you can make Onggi yourself, and various experiences, exhibitions, and performances are prepared.
[Contents of the event]
1. Main programs: Onggi Special Experience Center, Onggi Special Forces 'Oggi Soil Playground', theme performance 'Honbul', Onggi Bulmung, Onggi Starmung, Onggi Festival Pop-up, etc
2. Supplementary programs: Onggi Marketplace, Onggiro Performance, Resident Join Performance, Resident Join Experience Program, etc
3. Consumer Join Programs: Onggi Festival Pop-up, Onggi Marketplace, Cheap Onggi Mart, Flea Market, Food Truck, etc
4. Other contents: Onggi Museum, Onggi Academy Museum, Fermentation Academy Museum, and public art project linkage experience program, etc",2025.05.03,2025.05.05,Ulsan,Oegosan Onggi Village Area,35.434009,129.279375,free,"Ulju County Office, Ulsan",052-204-0355,https://www.onggi.or.kr/,1050,"Food,Culture,Music/Show,Nature,Heritage,Specialty,Join"
10th Ulju Mountain Film Festival,"The Ulsan Ulju World Mountain Film Festival is the first international mountain film festival in Korea and is a representative festival held every year around UMC (Ulju-gun, Ulsan) since it began in 2015. It introduces a variety of domestic and foreign works on the theme of mountains, adventures, nature, and the environment, and allows visitors to enjoy the entire culture of the festival, including seminars, exhibitions, and contests, as well as film screenings.

[Contents of the event]
1. a major program
1) International Competition Division ??Chapter and Short Film Competition Screening on Mountain, Adventure, and Nature
2) Asian Competition Division
3) an invited screening and a special exhibition

2. Production Support Program
1) UMFF Summit ??Mountain film production support program (public offering: January-March 2025, total subsidy of KRW 100 million)
2) UMFF Project ??Screening and Subsequent Support for Selected Works

3. academic and exchange programs
1) Seminar, Lecture, Panel Talk
2) Workshop and Experience Events for Local Residents

4. a side event
1) Mountain Culture Exhibition ??Photography, Equipment, and Art Exhibition
2) Networking Events ??Director, Producer, Mountaineer Interaction
3) Docent Screening ??a dialogue program with directors and writers

5. Key information
- 10th Held: September 26th to September 30th, 2025  
- Location: Ulju-gun, Ulsan Metropolitan City  
- Prize money: A total of 24 million won in addition to 10 million won for international competition  
- Reception period: January 13th to May 16th, 2025 (based on public offering)",2025.09.26,2025.09.30,Ulsan,Sangbuk-myeon Welcome Center Area,35.55651,129.067422,free,"Ulju County Office, Ulsan",052-204-0312,https://www.umff.kr/kor/,2900,"Winter,Food,Culture,Spring,Nature,Specialty,Join"
